,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
10,0.018776941299438476,0.0002571607772094699,0.001157855987548828,0.00011619383694021279,0.5,3,100,"{'colsample_bytree': 0.5, 'max_depth': 3, 'n_estimators': 100}",-0.4877850874459036,-0.47163737127728295,-0.5415855266704258,-0.4091579521431916,-0.6031817646570146,-0.5026695404387638,0.06564468114174497,12,-0.5329101060827574,-0.5569897585858902,-0.5549246296286583,-0.5060112196952105,-0.601315327963904,-0.5504302083912841,0.03140867223114502,9
11,0.02779068946838379,0.00029495242588025263,0.0011859416961669921,9.725834670283479e-05,0.5,3,150,"{'colsample_bytree': 0.5, 'max_depth': 3, 'n_estimators': 150}",-0.4912970074418048,-0.4891757984835969,-0.5624114441413476,-0.42565614682230396,-0.6303496822035767,-0.519778015818526,0.07021437514503023,19,-0.5353494919836521,-0.5655620203663906,-0.5723689272999763,-0.5110735682149729,-0.6162252388699516,-0.5601158493469887,0.03562746156103272,15
12,0.013148069381713867,0.00010087557420300718,0.0011398792266845703,0.0001310537288566042,0.5,4,50,"{'colsample_bytree': 0.5, 'max_depth': 4, 'n_estimators': 50}",-0.44169420131334064,-0.44911139592470684,-0.5308933517722259,-0.4146476191592196,-0.5661661316346477,-0.48050253996082815,0.05780284857986032,5,-0.513701846357435,-0.5517354762802521,-0.560241486877203,-0.49509402737021446,-0.5885048742693756,-0.5418555422308959,0.03343975508401365,5
13,0.025002717971801758,0.00019107406971237515,0.0011386394500732422,3.0476721594236814e-05,0.5,4,100,"{'colsample_bytree': 0.5, 'max_depth': 4, 'n_estimators': 100}",-0.4579150516377866,-0.45907989578929737,-0.5292272184909173,-0.42412320984586477,-0.6262081240316046,-0.49931069995909405,0.07208776635590862,9,-0.5210306382117172,-0.5597898606210947,-0.5591651480644941,-0.5104739628732204,-0.6321178325183728,-0.5565154884577799,0.04269063904813502,12
14,0.036938047409057616,0.0004127217078436384,0.0012033939361572265,4.042966139416496e-05,0.5,4,150,"{'colsample_bytree': 0.5, 'max_depth': 4, 'n_estimators': 150}",-0.4658545589565896,-0.45710175823778826,-0.5419186604239152,-0.44124680131656135,-0.6507072302326458,-0.5113658018335,0.07782293328500674,16,-0.5278084330881635,-0.55435226423045,-0.5671154676626126,-0.5263972623894612,-0.648792257483717,-0.5648931369708808,0.0447488967383957,20
15,0.01727151870727539,0.00021108671353587983,0.0010959625244140625,1.1300537645436913e-05,0.5,5,50,"{'colsample_bytree': 0.5, 'max_depth': 5, 'n_estimators': 50}",-0.4616125826171527,-0.4347499398236379,-0.5245204340087118,-0.4042001873903916,-0.6846344917931098,-0.5019435271266007,0.09958014763756501,11,-0.5329170121500889,-0.5506827185551325,-0.5551175499955813,-0.49507288821041584,-0.6507834757809864,-0.556914728938441,0.05148536319196862,13
16,0.033977413177490236,0.00039098578491392525,0.0011905670166015626,9.484865229715666e-06,0.5,5,100,"{'colsample_bytree': 0.5, 'max_depth': 5, 'n_estimators': 100}",-0.4759743111186389,-0.4357542582748082,-0.5388971975845404,-0.4063982356978779,-0.6924040578215555,-0.5098856120994841,0.10149849865858895,15,-0.539683559599022,-0.5503107576320568,-0.5615626387298107,-0.49470506235957146,-0.6615897242311408,-0.5615703485103204,0.05491930805579856,16
17,0.050720930099487305,0.0009328723513625313,0.0012873172760009765,3.197498043863389e-05,0.5,5,150,"{'colsample_bytree': 0.5, 'max_depth': 5, 'n_estimators': 150}",-0.47476611202563185,-0.4344911854123537,-0.5415125799905603,-0.41262579932406007,-0.7029862423912211,-0.5132763838287654,0.10450626956740702,17,-0.5397151780004302,-0.5483548181752363,-0.5628098876525959,-0.4978682262202104,-0.6658639427254961,-0.5629224105547939,0.05582080077724157,18
18,0.01057262420654297,0.00030966061314073763,0.0010666370391845704,2.041197241398283e-05,0.8,3,50,"{'colsample_bytree': 0.8, 'max_depth': 3, 'n_estimators': 50}",-0.47811278413320557,-0.41094434008767466,-0.5273815763979164,-0.4060962547685048,-0.5327523213001554,-0.4710574553374913,0.0545196936311971,2,-0.5295799396311244,-0.5234301276504993,-0.549216772740086,-0.48380141022304696,-0.5766447027316268,-0.5325345905952767,0.030628552923110956,2
19,0.019768333435058592,0.000428198111346126,0.0011677742004394531,0.00010743692496520136,0.8,3,100,"{'colsample_bytree': 0.8, 'max_depth': 3, 'n_estimators': 100}",-0.4929179616256036,-0.434944790415829,-0.5762449170108851,-0.4392599658728224,-0.5921274575442024,-0.5070990184938685,0.06636333745830097,13,-0.5400943582256635,-0.5422219646473726,-0.5637499298900366,-0.5050906607260307,-0.6141024022826349,-0.5530518631543476,0.035852691764368366,10
20,0.02825021743774414,0.0003346232064872624,0.0011350154876708985,3.097151864234122e-05,0.8,3,150,"{'colsample_bytree': 0.8, 'max_depth': 3, 'n_estimators': 150}",-0.5133532470826828,-0.4566471326287101,-0.5935781279261181,-0.46149852589252865,-0.6130032032299458,-0.5276160473519971,0.06519739785460575,21,-0.5563197769224644,-0.5514899039020141,-0.573111596206824,-0.5127639981607596,-0.6219649208777862,-0.5631300392139696,0.03543948446106481,19
21,0.013609170913696289,0.00017265726332065738,0.0010720252990722655,8.039480143733993e-06,0.8,4,50,"{'colsample_bytree': 0.8, 'max_depth': 4, 'n_estimators': 50}",-0.4785115057800267,-0.42425872088089367,-0.5148884133618534,-0.39031922415112996,-0.5820854814040712,-0.4780126691155949,0.06748458616590941,3,-0.5189489596523345,-0.5336195876200994,-0.5377731913079818,-0.48834216346343357,-0.5918915571342588,-0.5341150918356217,0.03369545873184784,3
22,0.02593512535095215,0.00046775978728499836,0.0011286735534667969,1.013433220284928e-05,0.8,4,100,"{'colsample_bytree': 0.8, 'max_depth': 4, 'n_estimators': 100}",-0.494695498150638,-0.4404280164804022,-0.5271590795503757,-0.4197638913015571,-0.6258442403696837,-0.5015781451705312,0.07290641648681885,10,-0.5422480273991823,-0.5485441560546557,-0.5436667408794165,-0.5145138837397099,-0.6205556598633372,-0.5539056935872603,0.03539326519519611,11
23,0.03879084587097168,0.0004970696230134253,0.001199960708618164,1.7169448745144686e-05,0.8,4,150,"{'colsample_bytree': 0.8, 'max_depth': 4, 'n_estimators': 150}",-0.4902556941759914,-0.4441182100175038,-0.5353724609233873,-0.423106929644667,-0.6465215180754017,-0.5078749625673902,0.07942286986758619,14,-0.538798521583279,-0.551151160771648,-0.5500104880581299,-0.5229224432259798,-0.6319973893190554,-0.5589760005916184,0.03789649430416792,14
24,0.018209218978881836,0.0003751873725727114,0.001187896728515625,0.00011800237042324367,0.8,5,50,"{'colsample_bytree': 0.8, 'max_depth': 5, 'n_estimators': 50}",-0.4131818430702244,-0.44278931699768526,-0.4655876396935814,-0.4170721311499162,-0.6589743017390983,-0.4795210465301011,0.0917034214557695,4,-0.49576438885803026,-0.5436648844430844,-0.5121056921780109,-0.5014945392807325,-0.6402875322321947,-0.5386634073984105,0.05344088380157279,4
25,0.035132217407226565,0.0005376304258416429,0.0011645317077636718,1.2713412245560825e-05,0.8,5,100,"{'colsample_bytree': 0.8, 'max_depth': 5, 'n_estimators': 100}",-0.4224735494216029,-0.4344134616260908,-0.4688982822094055,-0.4462833240690652,-0.6828122701391258,-0.49097617749305805,0.09713693625803577,6,-0.5022074806814393,-0.5348612746844689,-0.5166522556294998,-0.5219606105238199,-0.656706913603538,-0.5464777070245532,0.056099764697474,6
26,0.052814149856567384,0.00025421389689337797,0.0012578010559082032,1.4971927453486566e-05,0.8,5,150,"{'colsample_bytree': 0.8, 'max_depth': 5, 'n_estimators': 150}",-0.4256721658514501,-0.43808502863538995,-0.4698121516264954,-0.44440208790576596,-0.696218969230022,-0.4948380806498247,0.1017144841758129,8,-0.5059410262232026,-0.5357771826287111,-0.5156858457873265,-0.5197531320154667,-0.6643529961870603,-0.5483020365683535,0.05881837849571897,7
