,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
33,33,4,50,0.1,0.8,0.5960591133004927,0.6141191309107351,0.6807782144317608,0.6075590530730973,0.5960591133004927,16.96,535407831.0,3.167678733484943e-11
34,34,4,50,0.01,0.8,0.5172413793103449,0.6415198847900742,0.6808024729863668,0.5425563607453235,0.5172413793103449,16.86,536355438.0,3.143437878222836e-11
35,35,4,50,0.001,0.8,0.4827586206896552,0.6270997773730014,0.6618322832844696,0.5063636363636363,0.4827586206896552,17.1,540631356.0,3.162968594074666e-11
36,36,4,100,0.1,0.2,0.5812807881773399,0.6156034925526451,0.6805633529481074,0.5873852175222037,0.5812807881773399,17.15,545194593.0,3.145665826513433e-11
37,37,4,100,0.01,0.2,0.4236453201970443,0.6485185185185185,0.6048939901163718,0.4564625850340136,0.4236453201970443,18.05,558784536.0,3.230225397647726e-11
38,38,4,100,0.001,0.2,0.4039408866995074,0.6538461538461539,0.5869599872469312,0.438847174836233,0.4039408866995074,16.72,542142449.0,3.0840602927958513e-11
39,39,4,100,0.1,0.5,0.7241379310344828,0.6946468165980361,0.7492601140845169,0.7117546904702868,0.7241379310344829,17.62,543772876.0,3.2403234471003664e-11
40,40,4,100,0.01,0.5,0.5073891625615764,0.6343673382368618,0.6753824187858246,0.5305883381414459,0.5073891625615764,17.82,558449688.0,3.1909768029094144e-11
41,41,4,100,0.001,0.5,0.4729064039408867,0.6277232704402516,0.6564122290839277,0.4985775248933143,0.4729064039408867,17.8,553081201.0,3.2183339386362546e-11
42,42,4,100,0.1,0.8,0.7438423645320197,0.7134041193864454,0.7510275230629544,0.7274928774928774,0.7438423645320196,17.89,540920809.0,3.307323309131559e-11
43,43,4,100,0.01,0.8,0.5172413793103449,0.6331943323468747,0.6737085785180102,0.5423818298196621,0.5172413793103449,18.39,563180970.0,3.2653802204999935e-11
44,44,4,100,0.001,0.8,0.4827586206896552,0.6270997773730014,0.6618322832844696,0.5063636363636363,0.4827586206896552,18.36,566118107.0,3.243139509756044e-11
45,45,4,150,0.1,0.2,0.6600985221674877,0.6418684196461975,0.7128722821755072,0.648958667546467,0.6600985221674877,17.45,562802020.0,3.1005574571320836e-11
46,46,4,150,0.01,0.2,0.4334975369458128,0.6241681790683605,0.6103140443169138,0.4620995157644372,0.4334975369458128,18.29,562290169.0,3.252768945352128e-11
47,47,4,150,0.001,0.2,0.4039408866995074,0.6538461538461539,0.5869599872469312,0.438847174836233,0.4039408866995074,18.22,541967220.0,3.3618269385369836e-11
48,48,4,150,0.1,0.5,0.7635467980295566,0.7257295173961841,0.7709403308866848,0.7437666546577438,0.7635467980295565,18.74,573899559.0,3.265379752626713e-11
49,49,4,150,0.01,0.5,0.5172413793103449,0.6364129256126653,0.6808024729863668,0.5394354014311551,0.5172413793103449,18.84,565847680.0,3.329517936699855e-11
50,50,4,150,0.001,0.5,0.4630541871921182,0.6259594909126925,0.6509921748833856,0.4890947642551095,0.4630541871921182,18.81,576938437.0,3.260313196986735e-11
51,51,4,150,0.1,0.8,0.7684729064039408,0.7315493148826482,0.7736503579869559,0.7481607836160616,0.7684729064039408,19.5,588818965.0,3.3117139832613917e-11
52,52,4,150,0.01,0.8,0.5369458128078818,0.6382832080200501,0.6845486869190941,0.5594088008475621,0.5369458128078818,19.09,583733028.0,3.27033062792534e-11
53,53,4,150,0.001,0.8,0.4876847290640394,0.6330519074421513,0.6645423103847407,0.5141069839739413,0.4876847290640394,18.76,571607391.0,3.281972958253789e-11
54,54,5,50,0.1,0.2,0.5812807881773399,0.6584813384813385,0.7038238413074668,0.5998777917512016,0.5812807881773399,16.77,534274807.0,3.138834131851551e-11
55,55,5,50,0.01,0.2,0.4285714285714285,0.6267178012144455,0.6005101227482864,0.4641333928647362,0.4285714285714285,16.05,527763396.0,3.041135501561006e-11
56,56,5,50,0.001,0.2,0.438423645320197,0.6648130393096836,0.6201179658855412,0.4783508931702441,0.438423645320197,16.79,528590498.0,3.1763718915734274e-11
57,57,5,50,0.1,0.5,0.6995073891625616,0.6746206174777604,0.7240797344034821,0.6888155123449241,0.6995073891625616,16.4,533458475.0,3.074278649336295e-11
58,58,5,50,0.01,0.5,0.5172413793103449,0.6392081736909323,0.687896367454723,0.5411378744712078,0.5172413793103449,17.36,553602469.0,3.13582416483045e-11
59,59,5,50,0.001,0.5,0.5172413793103449,0.6347117794486216,0.687896367454723,0.5382478632478632,0.5172413793103449,17.25,538589417.0,3.2028107971531123e-11
60,60,5,50,0.1,0.8,0.6995073891625616,0.6968265652476179,0.7493190277171314,0.7025425108798266,0.6995073891625616,17.07,533314356.0,3.200738890291564e-11
61,61,5,50,0.01,0.8,0.5270935960591133,0.6357272491573762,0.6791286327185523,0.5509482142972627,0.5270935960591133,16.96,535913780.0,3.1646881705486283e-11
