,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,MSE,MAE,Energy (J),Runtime (ms),Power (W)
63,63,5,100,0.1,0.2,0.4459086951762609,0.5239767678081989,17.07,513243710.0,3.3259053481629614e-11
64,64,5,100,0.01,0.2,1.5236416906551635,1.0554939325898889,17.39,510068496.0,3.409346026342313e-11
65,65,5,100,0.001,0.2,5.402348898476572,2.1847203098237515,16.62,515010092.0,3.227121226975879e-11
66,66,5,100,0.1,0.5,0.4446961846239389,0.5267103601247072,17.42,528453039.0,3.296414007375971e-11
67,67,5,100,0.01,0.5,1.3845707296135434,1.011515961587429,17.2,520176450.0,3.3065702993666856e-11
68,68,5,100,0.001,0.5,5.367307740680013,2.1797074915841224,17.17,522508602.0,3.2860703028196276e-11
69,69,5,100,0.1,0.8,0.4526457372646904,0.5155629355460405,17.14,525387511.0,3.262353908522961e-11
70,70,5,100,0.01,0.8,1.32609796122726,0.9916081927716732,17.01,527383735.0,3.2253554425602457e-11
71,71,5,100,0.001,0.8,5.339965110481389,2.1750522669404746,17.07,522615012.0,3.2662666796873414e-11
72,72,5,150,0.1,0.2,0.4526858539835089,0.522181998193264,17.31,527706119.0,3.280234846016633e-11
73,73,5,150,0.01,0.2,0.944527289152931,0.7870277397334575,17.27,528038773.0,3.270593161536643e-11
74,74,5,150,0.001,0.2,4.98864248717175,2.0897672096267343,16.9,519900241.0,3.25062361338663e-11
75,75,5,150,0.1,0.5,0.4596872164392452,0.5355830539017916,17.92,537168853.0,3.336008761475975e-11
76,76,5,150,0.01,0.5,0.8273149649701537,0.7378331910818815,17.88,534727696.0,3.343757978827414e-11
77,77,5,150,0.001,0.5,4.940079550551131,2.0826885994523763,17.7,531757726.0,3.3285835136131144e-11
78,78,5,150,0.1,0.8,0.4648825050993659,0.5254285875707865,18.23,554988918.0,3.284750273157707e-11
79,79,5,150,0.01,0.8,0.779259199520987,0.7110683307051658,18.19,554401476.0,3.281015795852607e-11
80,80,5,150,0.001,0.8,4.902615472124812,2.0760572385042906,17.98,539854930.0,3.330524368833679e-11
