,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
31,31,4,50,0.01,0.5,0.9015486725663716,0.8516310461192351,0.5593634476122955,0.5799410029498525,0.9015486725663716,17.7,545334074.0,3.245716863091155e-11
32,32,4,50,0.001,0.5,0.9015486725663716,0.9052733380840884,0.5504000607687244,0.5655512416910109,0.9015486725663716,19.01,575267103.0,3.304551903083532e-11
33,33,4,50,0.1,0.8,0.9059734513274336,0.7771452440625373,0.6469970122043855,0.6852973579558252,0.9059734513274338,20.09,604579479.0,3.3229708744381647e-11
34,34,4,50,0.01,0.8,0.9070796460176992,0.8104124408384044,0.6162455056464273,0.6567585159470601,0.9070796460176992,17.7,535060620.0,3.3080363866060635e-11
35,35,4,50,0.001,0.8,0.9059734513274336,0.8113106455307986,0.6066617714083151,0.6452299495362226,0.9059734513274338,23.74,657190702.0,3.6123456901859815e-11
36,36,4,100,0.1,0.2,0.8982300884955752,0.7515768348623852,0.5888742593811718,0.6187402585495554,0.8982300884955752,18.02,559339126.0,3.221659126345472e-11
37,37,4,100,0.01,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,19.14,574305940.0,3.332718446199599e-11
38,38,4,100,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,17.33,556761422.0,3.112643821072789e-11
39,39,4,100,0.1,0.5,0.9026548672566372,0.758757674250632,0.6451359700207626,0.6801286690792119,0.9026548672566372,18.55,568521074.0,3.262851783045777e-11
40,40,4,100,0.01,0.5,0.9015486725663716,0.8344386232508787,0.5638451410340811,0.586758776547934,0.9015486725663716,19.48,578777165.0,3.36571675214588e-11
41,41,4,100,0.001,0.5,0.9015486725663716,0.8742553742553743,0.5548817541905099,0.5728763530767067,0.9015486725663716,19.66,569557737.0,3.4518010594595786e-11
42,42,4,100,0.1,0.8,0.9059734513274336,0.7750385030917408,0.651478705626171,0.6891472585976026,0.9059734513274338,22.16,637661823.0,3.475196287546918e-11
43,43,4,100,0.01,0.8,0.9081858407079646,0.8151405556468847,0.6213475464627538,0.6631938054090449,0.9081858407079646,21.1,594964268.0,3.5464314640152474e-11
44,44,4,100,0.001,0.8,0.9059734513274336,0.8113106455307986,0.6066617714083151,0.6452299495362226,0.9059734513274338,24.69,678089541.0,3.641112051896403e-11
45,45,4,150,0.1,0.2,0.9037610619469026,0.7753582228753921,0.6233478503063756,0.6609868486277486,0.9037610619469026,22.88,624870587.0,3.661558165162925e-11
46,46,4,150,0.01,0.2,0.8949115044247787,0.9472807991120976,0.5153061224489796,0.5018763739291328,0.8949115044247787,18.84,539740396.0,3.490566972496904e-11
47,47,4,150,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,18.72,580927236.0,3.222434556330562e-11
48,48,4,150,0.1,0.5,0.8993362831858407,0.7411994784876141,0.652238314680711,0.6826320276844375,0.8993362831858407,22.21,626590753.0,3.5445783222402584e-11
49,49,4,150,0.01,0.5,0.8993362831858407,0.8044631606870483,0.5581227528232137,0.5774724569197976,0.8993362831858407,21.12,617315170.0,3.421266968054584e-11
50,50,4,150,0.001,0.5,0.9004424778761062,0.8439807383627609,0.554261406795969,0.5716812668463612,0.9004424778761062,25.56,670462169.0,3.812295634535645e-11
51,51,4,150,0.1,0.8,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,21.95,601461392.0,3.649444551546544e-11
52,52,4,150,0.01,0.8,0.9037610619469026,0.7854183790892652,0.6099027700410189,0.6469621815733364,0.9037610619469026,27.36,709828396.0,3.854452731699395e-11
53,53,4,150,0.001,0.8,0.9048672566371682,0.8001720183486238,0.6060414240137743,0.6436050242963235,0.9048672566371682,21.56,618214596.0,3.4874621433234486e-11
54,54,5,50,0.1,0.2,0.9004424778761062,0.7938569367140795,0.5721881804831114,0.5983412322274881,0.9004424778761062,18.0,555752330.0,3.238852817765065e-11
55,55,5,50,0.01,0.2,0.8926991150442478,0.9462901439645626,0.5051020408163265,0.4817218409962705,0.8926991150442478,18.97,589862081.0,3.216006014124512e-11
56,56,5,50,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,18.87,570040914.0,3.310288706750618e-11
57,57,5,50,0.1,0.5,0.90929203539823,0.8052148933819467,0.6398946675444371,0.6825625214114424,0.90929203539823,19.03,577042522.0,3.297850552510929e-11
58,58,5,50,0.01,0.5,0.8971238938053098,0.7672019030627416,0.5568820580341317,0.5750655809792415,0.8971238938053098,18.17,561903214.0,3.2336529756884434e-11
59,59,5,50,0.001,0.5,0.8971238938053098,0.7838395200599925,0.5479186711905606,0.5610619469026549,0.8971238938053098,18.51,540917523.0,3.4219634626257066e-11
60,60,5,50,0.1,0.8,0.9037610619469026,0.7631088841097045,0.6502380108370892,0.685668266675193,0.9037610619469026,21.61,600200507.0,3.6004634697851064e-11
61,61,5,50,0.01,0.8,0.9070796460176992,0.8051715309779826,0.6207271990682129,0.6614775584443374,0.9070796460176992,18.46,540236015.0,3.417025057094722e-11
62,62,5,50,0.001,0.8,0.9026548672566372,0.7887109077040426,0.5958373423811212,0.6300595238095238,0.9026548672566372,19.0,553144430.0,3.434907588240561e-11
63,63,5,100,0.1,0.2,0.8982300884955752,0.754233409610984,0.5843925659593863,0.6132440476190476,0.8982300884955752,18.48,569018105.0,3.247699824946695e-11
