Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
232.96,Joules,power/energy-pkg/,4628140569,100.00,,
420.42,Joules,power/energy-pkg/,8876948797,100.00,,
414.23,Joules,power/energy-pkg/,8433618231,100.00,,
399.58,Joules,power/energy-pkg/,8822042303,100.00,,
479.15,Joules,power/energy-pkg/,10161986206,100.00,,
413.15,Joules,power/energy-pkg/,8756599307,100.00,,
222.42,Joules,power/energy-pkg/,4287751224,100.00,,
252.82,Joules,power/energy-pkg/,4897852992,100.00,,
229.63,Joules,power/energy-pkg/,4536509800,100.00,,
237.20,Joules,power/energy-pkg/,4613306298,100.00,,
230.07,Joules,power/energy-pkg/,4579929341,100.00,,
465.17,Joules,power/energy-pkg/,9964881556,100.00,,
449.45,Joules,power/energy-pkg/,10509265173,100.00,,
496.55,Joules,power/energy-pkg/,10177347225,100.00,,
500.87,Joules,power/energy-pkg/,10471212506,100.00,,
507.90,Joules,power/energy-pkg/,10509548715,100.00,,
249.83,Joules,power/energy-pkg/,4916996575,100.00,,
241.84,Joules,power/energy-pkg/,4793660444,100.00,,
265.11,Joules,power/energy-pkg/,5197659386,100.00,,
215.93,Joules,power/energy-pkg/,4291541282,100.00,,
287.21,Joules,power/energy-pkg/,5633716742,100.00,,
512.75,Joules,power/energy-pkg/,10942945371,100.00,,
516.65,Joules,power/energy-pkg/,10857597715,100.00,,
498.46,Joules,power/energy-pkg/,10810970227,100.00,,
469.83,Joules,power/energy-pkg/,10096337856,100.00,,
496.79,Joules,power/energy-pkg/,10698372676,100.00,,
284.74,Joules,power/energy-pkg/,5588062329,100.00,,
255.75,Joules,power/energy-pkg/,5035886308,100.00,,
239.15,Joules,power/energy-pkg/,4915589085,100.00,,
281.38,Joules,power/energy-pkg/,5564065123,100.00,,
258.85,Joules,power/energy-pkg/,5083302755,100.00,,
589.21,Joules,power/energy-pkg/,12811978457,100.00,,
586.24,Joules,power/energy-pkg/,13187812788,100.00,,
515.80,Joules,power/energy-pkg/,11389880297,100.00,,
527.11,Joules,power/energy-pkg/,11179958879,100.00,,
561.03,Joules,power/energy-pkg/,12135386470,100.00,,
217.65,Joules,power/energy-pkg/,5067152656,100.00,,
268.83,Joules,power/energy-pkg/,6282134730,100.00,,
279.22,Joules,power/energy-pkg/,5524543692,100.00,,
288.19,Joules,power/energy-pkg/,6733453929,100.00,,
303.10,Joules,power/energy-pkg/,5928947403,100.00,,
557.40,Joules,power/energy-pkg/,11654029135,100.00,,
598.53,Joules,power/energy-pkg/,12670564312,100.00,,
575.41,Joules,power/energy-pkg/,12319452087,100.00,,
603.52,Joules,power/energy-pkg/,13848587732,100.00,,
727.18,Joules,power/energy-pkg/,15717439449,100.00,,
301.34,Joules,power/energy-pkg/,6022914815,100.00,,
297.15,Joules,power/energy-pkg/,5920640965,100.00,,
219.82,Joules,power/energy-pkg/,5328006436,100.00,,
273.47,Joules,power/energy-pkg/,5399187472,100.00,,
272.93,Joules,power/energy-pkg/,5399030909,100.00,,
616.22,Joules,power/energy-pkg/,15186162152,100.00,,
608.31,Joules,power/energy-pkg/,12853880853,100.00,,
605.86,Joules,power/energy-pkg/,13029793330,100.00,,
616.51,Joules,power/energy-pkg/,14062367596,100.00,,
596.86,Joules,power/energy-pkg/,13410619311,100.00,,
292.41,Joules,power/energy-pkg/,5882927445,100.00,,
290.24,Joules,power/energy-pkg/,5790321888,100.00,,
271.27,Joules,power/energy-pkg/,5560065482,100.00,,
284.07,Joules,power/energy-pkg/,5609049500,100.00,,
276.60,Joules,power/energy-pkg/,5484119198,100.00,,
637.21,Joules,power/energy-pkg/,13615451374,100.00,,
595.52,Joules,power/energy-pkg/,14311279228,100.00,,
622.77,Joules,power/energy-pkg/,13942656163,100.00,,
661.25,Joules,power/energy-pkg/,14274195049,100.00,,
672.02,Joules,power/energy-pkg/,14647739635,100.00,,
313.07,Joules,power/energy-pkg/,6180060886,100.00,,
319.47,Joules,power/energy-pkg/,6358219443,100.00,,
317.79,Joules,power/energy-pkg/,6394428271,100.00,,
296.87,Joules,power/energy-pkg/,5947507843,100.00,,
287.72,Joules,power/energy-pkg/,5759452323,100.00,,
684.31,Joules,power/energy-pkg/,15277432515,100.00,,
726.31,Joules,power/energy-pkg/,16510572233,100.00,,
751.91,Joules,power/energy-pkg/,16292473830,100.00,,
724.59,Joules,power/energy-pkg/,16365802825,100.00,,
717.87,Joules,power/energy-pkg/,16584738278,100.00,,
