,Tuner,N_iter,Max Depth,Max Features,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
17,bayes,12,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,293.76,8885203421.0,3.306170788456054e-11
18,random,13,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,186.19,7183640669.0,2.5918612661610008e-11
19,bayes,13,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,320.33,9361937024.0,3.421620965605846e-11
20,random,14,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,196.62,7717941121.0,2.5475706139427543e-11
21,bayes,14,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,379.12,11027490957.0,3.437953397362283e-11
22,random,15,4,0.2674671582049007,142,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399,f1_macro,216.25,8352638483.0,2.5890022708408893e-11
23,bayes,15,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,428.21,12172960057.0,3.517714656048345e-11
24,random,16,4,0.2674671582049007,142,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399,f1_macro,213.19,8593381109.0,2.4808628559103744e-11
25,bayes,16,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,464.23,12946621475.0,3.585723123955009e-11
26,random,17,4,0.2674671582049007,142,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399,f1_macro,222.31,9033683329.0,2.4609009625823247e-11
27,bayes,17,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,521.45,14408364503.0,3.619078347798792e-11
28,random,18,5,0.2546057039484994,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro,228.27,9251060799.0,2.467500808390266e-11
29,bayes,18,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,570.06,15683770936.0,3.634712610418859e-11
30,random,19,5,0.2546057039484994,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro,233.6,9459662956.0,2.4694325906382746e-11
31,bayes,19,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,614.83,16906969148.0,3.6365477136552946e-11
32,random,20,5,0.2546057039484994,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro,244.93,9896061648.0,2.4750250019865276e-11
33,bayes,20,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro,669.64,18194457604.0,3.680461460157963e-11
