Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target
bayes,4,0.41963895836989074,4,98,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro
bayes,4,0.7791660878092617,4,59,0.7783251231527094,0.7410211850380669,0.7745340624761746,0.7552869116698903,0.7783251231527094,f1_macro
bayes,4,0.5201980686349232,5,131,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,4,0.40925218672071245,4,98,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro
random,5,0.8998803229860695,5,75,0.8275862068965517,0.7898629561765155,0.8107070329015311,0.7995657059392345,0.8275862068965517,f1_macro
random,5,0.7083817871214213,4,108,0.8177339901477833,0.780111835973905,0.805286978700989,0.7915647651599976,0.8177339901477833,f1_macro
random,5,0.5387926875518622,5,62,0.8078817733990148,0.766062481579723,0.7953305747891238,0.7790987659891537,0.8078817733990148,f1_macro
random,5,0.34878304995550635,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro
random,5,0.7669968518421293,5,143,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,5,0.5980595528472608,5,131,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
